Borrower_ID,Lender_final_count,LenderID_ordered_by_lending,Lender_Geo_Location,Lender_HomeTown
414841,37,dan195,,"New York, NY, United States"
414841,37,dan4586578,,"Plantation, FL, United States"
414841,37,colin6,,"Brisbane, QLD, Australia"
414841,37,katie951,,"Washington, DC, United States"
414841,37,casse,,"Newark, DE, United States"
414841,37,daniel646,,"San Francisco Bay Area, California, United States"
414841,37,sacha,,"New Westminster, BC, Canada"
414841,37,trolltech446,,"Oslo, , Norway"
414841,37,sarah3441544,,", , "
414841,37,brent260,,", , "
414841,37,annaf734,,"Morrison, CO, United States"
414841,37,genie834,,", , "
414841,37,allison7421113,,"Norman, OK, United States"
414841,37,peggy672,,", , "
414841,37,dolores256,,", PA, United States"
415486,15,leslie275,,"Ludlow, MA, United States"
415486,15,thomas708,,"Parker, Colorado, United States"
415486,15,tracy356,,"cessnock, New South Wales, Australia"
415486,15,stephen,,"Sonoma County, CA, United States"
415486,15,saumya614,,", , "
415486,15,sarah130,,"Littleton, Massachusetts, United States"
415486,15,brian996,,"Dartmouth, Nova Scotia, Canada"
415486,15,erin686,,"virginia, , United Kingdom"
415486,15,nathan136,,"Burlington, Ontario, Canada"
415486,15,trish382,,"Mt Stuart, Tasmania, Australia"
415486,15,claes367,,", , Sweden"
415486,15,godelieveenmarcel952,,"Arnhem, , Netherlands"
415486,15,roger5142200,,"Manchester, , United Kingdom"
415486,15,saveriomirodd,,"Berlin, , Germany"
415486,15,sarah7873666,,"Seattle, WA, United States"
415494,8,thomas708,,"Parker, Colorado, United States"
415494,8,thomas601,,"Westlake Village, CA, United States"
415494,8,melissa516,,", , "
415494,8,diane753,,", , "
415494,8,sshasta229,,"Santa Cruz, California, United States"
415494,8,martin1368207,,", , Australia"
415494,8,Seaislega,,"Lawrenceville, GA, United States"
415494,8,peggyandcatherine776,,"Oakland, CA, United States"
415610,125,harlanstephanie569,,"Forest Junction, WI, United States"
415610,125,ngawchee640,,"astoria, NY, United States"
415610,125,bob473,,"Dallas, , United States"
415610,125,solsticebahama,,", , Bahamas"
415610,125,dennisli,,", , "
415610,125,lindsaycarlso,,"Los Angeles, CA, United States"
415610,125,sunil893,,"Everett, WA, United States"
415610,125,philip298,,"EMBLETON, WESTERN AUSTRALIA, Australia"
415610,125,wilson884,,"alameda, ca, United States"
415610,125,jamesclayton948,,"Rio de Janeiro, RJ, Brazil"
415610,125,hidenori125,,"Tokio, Tokyo, Japan"
415610,125,mike489,,", , "
415610,125,gooddogg,,"Front Porch , , "
415610,125,gretagaleazz,,"GALEAZZI GRETA, EUROPEAN CITIZEN, Italy"
415610,125,robert994,,", , "
415610,125,juanmartitegu,,"Pilar, Buenos Aires, Argentina"
415610,125,sheryl233,,"Redcliffe, Queensland, Australia"
415610,125,wesley726,,"Carterville, IL, United States"
415610,125,janrune138,,"Tiller, S\\u00f8r-Tr\\u00f8ndelag, Norway"
415610,125,adam990,,"Rochester, NY, United States"
415610,125,shyamthimmaia,,"Mountain View, CA, United States"
415610,125,robinsonhouse952,,"Canterbury, Victoria, Australia"
415610,125,joseluis347,,"Barcelona, Barcelona, Spain"
