Borrower_ID,Lender_final_count,LenderID_ordered_by_lending,Is_Fellow
416695,184,todd290,no
416695,184,christine284,no
416695,184,robfit,no
416695,184,kurt781,no
416695,184,tom749,no
416695,184,laura594,no
416695,184,kelly986,no
416695,184,timothy1509731,no
416695,184,kevin644,no
416695,184,judith400,no
416695,184,julia336,no
416695,184,globethreeventure,no
416695,184,karin343,no
416695,184,greg731,no
416695,184,ki369,no
416695,184,juliette143,no
416695,184,burge,no
416695,184,mary804,no
416695,184,misty908,no
416695,184,jim530,no
416695,184,markus121,no
416695,184,peter450,no
416695,184,bjarne408,no
416695,184,natalie111,no
416695,184,jeff830,no
416695,184,dick292,no
416695,184,philip963,no
416695,184,ardis929,no
416695,184,james446,no
416695,184,bhsumethods611,no
416695,184,katherine8953962,no
416695,184,claire104,no
416695,184,wing910,no
416695,184,fabian818,no
416695,184,reshef114,no
416695,184,angela750,no
416695,184,roberta237,no
416695,184,justin969,no
416695,184,sandraandpeter741,no
416695,184,projectline706,no
416695,184,madhurika747,no
416695,184,ruthanne642,no
416695,184,terry122,no
416695,184,kevin516,no
416695,184,tamzen502,no
416695,184,joe147,no
416695,184,hart531,no
416695,184,caleb570,no
416695,184,diana571,no
416695,184,steve916,no
416695,184,daniel165,no
416695,184,rhys567,no
416695,184,mona414,no
416695,184,jose672,no
416695,184,rick263,no
416695,184,chris504,no
416695,184,elizabeth788,no
416695,184,robert642,no
416695,184,amy219,no
416695,184,jack765,no
416695,184,allan683,no
416695,184,james967,no
416695,184,cathie414,no
416695,184,self647,no
416695,184,nicholas505,no
416695,184,sally661,no
416695,184,nate751,no
416695,184,barbara528,no
416695,184,deena116,no
416695,184,david857,no
416695,184,grovecity905,no
416695,184,melissa523,no
416695,184,dona769,no
416695,184,adrienne548,no
416695,184,sue841,no
416695,184,kat355,no
416695,184,ronna237,no
416695,184,tye314,no
416695,184,keoni279,no
416695,184,li777,no
416695,184,allison120,no
416695,184,kathleen517,no
416695,184,ernestr751,no
416695,184,cecilia603,no
416695,184,sandes,no
416695,184,bill624,no
416695,184,natalie339,no
416695,184,athens254,no
416695,184,will860,no
416695,184,amanda351,no
416695,184,margaret201,no
416695,184,rob442,no
416695,184,sharathra,no
416695,184,marina306,no
417206,47,gooddogg,no
417206,47,dinan,no
417206,47,cassandra614,no
417206,47,startupacadem,no
417206,47,scott580,no
417206,47,kaye301,no
417206,47,praveen629,no
417206,47,christian207,no
417206,47,robert4421241,no
417206,47,brian758,no
417206,47,michael3837478,no
417206,47,peter113,no
417206,47,kakbankasp,no
417206,47,hbtommy660,no
417206,47,angie638,no
417206,47,ingrid809,no
417206,47,paulo749,no
417206,47,pekk,no
417206,47,holly6970439,no
417206,47,vincentbloc,no
417206,47,jamie768,no
417206,47,nick954,no
417206,47,david5581267,no
417206,47,rachel423,no
417206,47,mfalcut,no
417206,47,stephen437,no
417206,47,gerolamo461,no
417206,47,wilsu,no
417206,47,shauna413,no
417206,47,betty631,no
417206,47,susan814,no
417206,47,martha958,no
417206,47,traian157,no
417206,47,ignacio774,no
417206,47,gabrielle671,no
417206,47,vulgri,no
417206,47,charles698,no
417206,47,stephen833,no
417206,47,linus600,no
417206,47,susananddennis409,no
417206,47,julie141,no
417206,47,heather706,no
417206,47,MarshWildma,no
417206,47,capebretonhighlands591,no
417206,47,rogerandirene192,no
417206,47,marianne512,no
417206,47,christopher289,no
418546,15,wietske908,no
418546,15,erik715,no
418546,15,linda558,no
418546,15,lindsaycarlso,no
418546,15,guido942,no
418546,15,karen352,no
418546,15,FTDW,no
418546,15,gretagaleazz,no
418546,15,jamesclayton948,no
418546,15,gooddogg,no
418546,15,don921,no
418546,15,margaret2945974,no
418546,15,julie846,no
418546,15,alanrae423,no
418546,15,brucekovane,no
419722,97,judy349,no
419722,97,Schascho,no
419722,97,su,no
419722,97,howard416,no
419722,97,annet657,no
419722,97,DanJHarriso,no
419722,97,garrett530,no
419722,97,gareth320,no
419722,97,ailsa477,no
419722,97,susan6386752,no
419722,97,catrine479,no
419722,97,inbal103,no
419722,97,howard701,no
419722,97,joel226,no
419722,97,snow299,no
419722,97,zbicyclis,no
419722,97,lorenzo997,no
419722,97,staale208,no
419722,97,andrew2077415,no
419722,97,greg112,no
419722,97,PeaceAcadem,no
419722,97,renee697,no
419722,97,rebecka135,no
419722,97,slavek550,no
419722,97,sacha,no
419722,97,worldloveorganizatio,no
419722,97,midori548,no
419722,97,hilary828,no
419722,97,stephen9736570,no
419722,97,lorraine898,no
419722,97,lori211,no
419722,97,howard646,no
419722,97,peter511,no
419722,97,tiffany312,no
419722,97,nicole625,no
419722,97,thomas352,no
419722,97,bob473,no
419722,97,rekad,no
419722,97,jeanne517,no
419722,97,JY102,no
419722,97,bonny715,no
419722,97,kayo288,no
419722,97,menno164,no
419722,97,edwin208,no
419722,97,anil167,no
419722,97,tim432,no
419722,97,chipinforchang,no
419722,97,highgrovechurc,no
419722,97,ronald874,no
419722,97,gail618,no
419722,97,vickie304,no
419722,97,nicole890,no
419722,97,nika768,no
419722,97,michael1279242,no
419722,97,jeff474,no
419722,97,kate405,no
419722,97,extendedgrace750,no
419722,97,frank147,no
419722,97,tyler199,no
419722,97,tarangpate,no
419722,97,mrsmathe,no
419722,97,whiteange,no
419722,97,ben617,no
419722,97,geanoliveir,no
419722,97,richard464,no
419722,97,sauryajit854,no
419722,97,mike7619800,no
419722,97,kathy889,no
419722,97,jacob965,no
419722,97,stacy165,no
419722,97,VampireHunte,no
419722,97,kevin855,no
419722,97,julia776,no
